13312,(same as u+4e18 丘) hillock or mound | cjk ideograph
17361,(same as u+7099 炙) to burn; to heat; to roast; to broil | cjk ideograph
17362,half of the body, (non-classical form of 胖) fat; obese | cjk ideograph
17363,(same as 脘) the stomach; gizzard (of birds and fowls) | cjk ideograph
17364,to eat meat, (same as 肘) the elbow, (same as 腬) fine quality of meat, (same as 衄) nose bleeding | cjk ideograph
17365,(ancient form of 飪) to cook food thoroughly | cjk ideograph
17366,a wound; a bruise; a sore, scar, muscles of the back | cjk ideograph
17367,unexpectedly; suddenly aching of the midriff or waist; lumbago | cjk ideograph
17368,a big abdomen, a female animal with a fat belly | cjk ideograph
17369,(same as u+9193 醓) brine from pickled meat; condiments, juicy meat pulp; mashed meat cooked with soybean sauce, short and ugly, light of the setting moon; (cant.) 肚䏙 stomach | cjk ideograph
17370,small, missing; wanting; lost, the floating ribs on the sides of the trunk | cjk ideograph
17371,(a corrupted form) a kind of insects; earthworm, strips of meat cut from the flank and dried in the wind | cjk ideograph
17372,fat; plump; obesity; obese | cjk ideograph
17373,(simplified form of 膞) sincere; earnest, a part of offering in sacrifice, gizzard of a fowl, chopped meat, small pig, the kneecap; patella, bone of one's limbs | cjk ideograph
17374,the belly; the abdomen | cjk ideograph
17375,fat meat, big; large | cjk ideograph
17376,(ancient form of 汁) meat soup, mixed meat | cjk ideograph
17377,uncooked or raw meat, an organic compound; proteose | cjk ideograph
17378,meat, rough; cracked skin | cjk ideograph
17379,(same as non-classical form 蛆) maggot | cjk ideograph
17380,(same as u+9856 囟) top of the human head; the skull | cjk ideograph
17381,dry, dandruff-like scales of dead flesh and skin | cjk ideograph
17382,fat of animals or plants, (same as 胋) fat; plump, fertile, animal fat | cjk ideograph
17383,fatty; greasy, not thick; not tight, plump and pretty of the flesh | cjk ideograph
17384,to swell up greatly, to swell; a swelling; a boil | cjk ideograph
17385,(same as 脅) to shrug the shoulders, the ribs | cjk ideograph
17386,tendon (of meat animals); sinews; muscles | cjk ideograph
17387,in between of the abdomen and the spine; the spinal column | cjk ideograph
17388,the spine; the spinal column, the ridge | cjk ideograph
17389,the cheeks; the jaw | cjk ideograph
17390,(abbreviated form of 脇=脅) the sides of the trunk from armpits to ribs; the flank | cjk ideograph
17391,(same as 痣) moles; birthmarks | cjk ideograph
17392,a kind of insects; earthworm, durable; strong and soft; pliable yet tough | cjk ideograph
17393,body, fat; plump | cjk ideograph
17394,(same as 胅) protruded bones, swelling, a crooked nose | cjk ideograph
17395,(in chemistry) olein, oil and grease; fats (esp. animal), the ribs and skin | cjk ideograph
17396,dim; ambiguous; unclear eyesight, sharp ends of something | cjk ideograph
17397,plump, rich and full, plentiful, swelling, a plump trunk (body) | cjk ideograph
17398,the stomach; gizzard (of birds and fowls), (same as 髀) buttocks, thigh | cjk ideograph
17399,medicine for a sore; a boil (injure by a sword or a knife) | cjk ideograph
17400,fish, eyes of the fishes | cjk ideograph
17401,to watch stealthily | cjk ideograph
17402,to swell; swelling | cjk ideograph
17403,(same as 能) can; to be able to, capability; talent, energy | cjk ideograph
17404,what is left over of the food (of birds and animals), a big belly | cjk ideograph
17405,meat pulp; mashed meat cooked with soybean sauce, last name | cjk ideograph
17406,(non-classical form of u+43fa 䏺) to swell; swelling | cjk ideograph
17407,the calf of the legs | cjk ideograph
17408,to dismember body of the livestock | cjk ideograph
17409,the buttocks; the rump, fat; plump, one of the seven constellations; name of a star, the anus | cjk ideograph
17410,fat of animals or plants, fat; plump; obese | cjk ideograph
17411,fat in the abdomen or intestine, protuberances of the muscle, a fetus inside the belly | cjk ideograph
17412,hunger for meat, to cook meat | cjk ideograph
17413,the buttocks; the bottom; the rump, to groan; to moan | cjk ideograph
17414,big belly, swollen of the belly | cjk ideograph
17415,clear; bright, (same as 吻) to agree; match, (same as 唇) the lips; the labia | cjk ideograph
17416,a piece of one foot two inches dried seasoned meat, to paste up; to attach to; to stick up; to glue, (same as 殖) rotten fat; grease, lard, etc., bowels, fat | cjk ideograph
17417,fat, (interchangeable 腦) the head | cjk ideograph
17418,(same as 䖵) insects, (same as 餛) cakes; biscuits; pastry, an ellipse | cjk ideograph
17419,sick; illness; disease, red | cjk ideograph
17420,(ancient form of 腆) luxuriant; abundant; rich; plentiful of food, brazen-faced; shameless, good; virtuous, protruding, as belly, etc., to go to excess | cjk ideograph
17421,(same as 䐢) excellent food; delicacies, to wrinkle; to contract, beautiful; elegant, dried and seasoned meat | cjk ideograph
17422,fat; greasy | cjk ideograph
17423,fat; plump | cjk ideograph
17424,curved part of the knee, between the thigh and calf | cjk ideograph
17425,thin cut of the sliced meat | cjk ideograph
17426,not fine; coarse, to stickup; to paste up; to attach to; to glue, scar | cjk ideograph
17427,soft, (same as u+811c 脜) gentle; mild; temperate facial expression | cjk ideograph
17428,muscle of the calf (of the leg), tendon (of meat animals), stopping and rising of the pulse like a plaited ropes | cjk ideograph
17429,oil and grease; fats, the bursting of a wound | cjk ideograph
17430,(same as 㕧) to laugh heartily; to roar with laughter; to groan; to moan | cjk ideograph
17431,(same as 豬) a pig, (same as 肚) the belly; the abdomen | cjk ideograph
17432,to laugh heartily; to roar with laughter, tongue of the cow | cjk ideograph
17433,(same as 膈) the diaphragm | cjk ideograph
17434,good graces; great favors, luster | cjk ideograph
17435,to loosen; to widen skin | cjk ideograph
17436,a swollen belly; dropsical, edematous; to swell; inflated | cjk ideograph
17437,thick; heavy fat of animals or plants | cjk ideograph
17438,the thin membrane between skin and flesh that protects internal organs or tissues in the human body, weak; fragile; delicate, flesh, meat | cjk ideograph
17439,fat; plump, bent; curved feet | cjk ideograph
17440,between the flesh, name of state in southern china (of minority group), dim moon | cjk ideograph
17441,(same as 臍) the navel; the umbilicus, the underside of a crab | cjk ideograph
17442,to wrinkle; to contract, beautiful; elegant, dried and seasoned meat, excellent food; delicacies | cjk ideograph
17443,soup made of cut meat mixed with blood | cjk ideograph
17444,dried and seasoned meat, sound of the abdomen | cjk ideograph
17445,stinky; offensive-smelling; odorous, fat; plump | cjk ideograph
17446,sleepy | cjk ideograph
17447,(same as 犒) to reward or cheer troops with food, money, gifts, etc., (same as 臛) meat broth | cjk ideograph
17448,back of the foot, the back feet of the animal, covering; shell, to strike; heat from the top | cjk ideograph
17449,fat; plump, the fetus of livestock, delicious meat | cjk ideograph
17450,(same as standard form 臇) fat; rich, a stew of fish | cjk ideograph
17451,obesity, fat; plump | cjk ideograph
17452,crisp, brittle, light, sound from the abdomen | cjk ideograph
17453,a discharge or flux, diarrhoea and dysentery | cjk ideograph
17454,skin | cjk ideograph
17455,ugly appearance of a person, dry meat; preserved meat | cjk ideograph
17456,(same as u+7f9e 羞) to offer food as tribute; delicacies, savoury food | cjk ideograph
17457,to pick the meat in between of bones | cjk ideograph
17458,half-raw meat; not well cooked meat, the light or grow of fire, raw meat, offensive smell, especially of fish or blood, thin sliced meat | cjk ideograph
17459,(same as 魚) fish | cjk ideograph
17460,lumbago | cjk ideograph
17461,fat; obese, swelling | cjk ideograph
17462,to cook; to boil; to decoct, diseases of the lips; hare-lip, pieces of meat | cjk ideograph
17463,paunchy; a large belly | cjk ideograph
17464,(non-classical form of 膕) the back of the knee, crooked feet | cjk ideograph
17465,preserved and dried meat, (a dialect) fried; cooked small pieces of meat, meat broth | cjk ideograph
17466,delicious; tasty food, (same as u+91b0 醰) of a fine flavour | cjk ideograph
17467,big pieces of dried meat | cjk ideograph
17468,thin membrane of the throat; bullet | cjk ideograph
17470,fat; plump | cjk ideograph
17471,gizzard, to store up meat, the five lowest pieces of bone of the spinal column | cjk ideograph
17472,the navel, the bowels; the entrails; the viscera, (same as 癖) chronic swelling of the spleen | cjk ideograph
17473,fatty; greasy, ointment | cjk ideograph
17474,fat; plump | cjk ideograph
17475,dim moon, dark; obscure, stupid; ignorant, to cheat; to hide the truth, to cover up; to hide, plump; fleshy | cjk ideograph
17476,rich; abundant; big and strong; vigorous, husky, (same as 瘜) (nasal) polypus | cjk ideograph
17477,(non-classical form) dizzy and sleepy; slumberous | cjk ideograph
17478,feel like vomiting | cjk ideograph
17479,medicine for a sore; a boil (injure by a sword or a knife) | cjk ideograph
17480,meat to offer for worship | cjk ideograph
17481,excrement, shit; night soil | cjk ideograph
17482,fat; plump, physical disease; carnal | cjk ideograph
17483,fat; obese | cjk ideograph
17484,what is left over of the food (of birds and animals); (same as 爛) overripe; rotten, cooked soft; well cooked | cjk ideograph
17485,(same as 咽) to swallow; the throat, (same as 癭) a reddish swelling on the neck, gnarl | cjk ideograph
17486,soup of pig's intestines, meat soup; meat broth | cjk ideograph
17487,ugly, a legendary animal | cjk ideograph
17488,bright; light, clear, (same as 瞇) to close the eyes; to narrow the eyes | cjk ideograph
17489,(ancient form of 僕) a servant, a modest term referring to oneself | cjk ideograph
17490,a kind of farm tool used in ancient times | cjk ideograph
17491,(same as 臺) a lookout, a tower, a terrace, a platform, a stage | cjk ideograph
17492,to pound (grain) in order to remove the husk | cjk ideograph
17493,(a non-classical abbreviated form of 鼠) a rat, a mouse, squirrels, moles, etc., kangxi radical 208 | cjk ideograph
17495,to pound (grain) in order to remove the husk | cjk ideograph
17496,to pound; to ram down, to polish; to grind barley or wheat | cjk ideograph
17497,put out the tongue; (same as u+3401 㐁) to lick; to taste | cjk ideograph
17498,(non-classical form of 甜) sweet; agreeable; pleasant | cjk ideograph
17499,(standard form of 舐) to lick | cjk ideograph
17500,to eat heavily, cooked rice, a meal, to drink, to swallow, to lick, the uvula, the ligule | cjk ideograph
17501,(non-classical form of 斝) a small cup with ears, used in ancient times for libations | cjk ideograph
17502,(same as 舜) shun, name of a legendary chinese ruler, said to have ruled from 2255-2205 b.c., wise; good | cjk ideograph
17503,(same as 葟) luxuriant; exuberant; flourishing (said of grass and tress; vegetation; flora) | cjk ideograph
17504,long and narrow boat, a small boat | cjk ideograph
17505,(same as 艖) small boat (short and deep) | cjk ideograph
17506,(non-classical form) (same as 舠) a knife shaped small boat | cjk ideograph
17507,a sailing boat | cjk ideograph
17508,a boat; a ship; vessel | cjk ideograph
17509,a moving boat; a sailing boat, tools used on a boat, a speedy boat | cjk ideograph
17510,a boat; a ship; vessel | cjk ideograph
17511,a short, deep and small boat | cjk ideograph
17512,(same as 舵) rudder; helm | cjk ideograph
17513,a kind of inland rivers warship used in qing dynasty | cjk ideograph
17514,a sailing; moving boat | cjk ideograph
17515,tools for boat, name of a boat | cjk ideograph
17516,boat, large boat, to dispel; to remove; to move, to stir up | cjk ideograph
17517,war vessel; man-of-war; warship | cjk ideograph
17519,a boat; a ship; vessel | cjk ideograph
17520,small boat | cjk ideograph
17521,a boat; a ship; vessel | cjk ideograph
17522,(same as 棹 櫂) to row a boat, an oar, a scull, a boat | cjk ideograph
17523,a horizontal bar in front of a boat, a boat | cjk ideograph
17524,a boat; a ship; vessel | cjk ideograph
17525,(corrupted form of 艒) a small boat | cjk ideograph
